REGNNUMB,SUBJCODE,SUBJUNCD,SUBJNAME,DEGRCODE,DEGRNAME,DELIVERY_MODE,CURRSEMS,INTNMARK,EXT_MARK,TOTAL,GRADE,TYPE,RES_STAT,UNIVERSITY,RESULT_SYSTEM
20241010006,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,19,36,55,B,CT-OL,PASS,AUCDE,CBCS
20241010006,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,22,51,73,A,CT-OL,PASS,AUCDE,CBCS
20241010006,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,23,49,72,A,CT-OL,PASS,AUCDE,CBCS
20241010006,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,29,60,89,A+,CT-OL,PASS,AUCDE,CBCS
20241010006,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,22,52,74,A,CT-OL,PASS,AUCDE,CBCS
20241010006,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,26,66,92,O,CT-OL,PASS,AUCDE,CBCS
20241010006,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,21,51,72,A,CT-OL,PASS,AUCDE,CBCS
20241010007,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,24,58,82,A+,CT-OL,PASS,AUCDE,CBCS
20241010007,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,21,63,84,A+,CT-OL,PASS,AUCDE,CBCS
20241010007,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,18,58,76,A,CT-OL,PASS,AUCDE,CBCS
20241010007,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,44,71,A,CT-OL,PASS,AUCDE,CBCS
20241010007,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,27,54,81,A+,CT-OL,PASS,AUCDE,CBCS
20241010007,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,20,43,63,B+,CT-OL,PASS,AUCDE,CBCS
20241010007,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,24,34,58,B,CT-OL,PASS,AUCDE,CBCS
20241010008,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,25,47,72,A,CT-OL,PASS,AUCDE,CBCS
20241010008,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,27,50,77,A,CT-OL,PASS,AUCDE,CBCS
20241010008,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,20,35,55,B,CT-OL,PASS,AUCDE,CBCS
20241010008,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,25,60,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010008,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,19,53,72,A,CT-OL,PASS,AUCDE,CBCS
20241010008,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,26,40,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010008,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,19,52,71,A,CT-OL,PASS,AUCDE,CBCS
20241010009,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,22,46,68,B+,CT-OL,PASS,AUCDE,CBCS
20241010009,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010009,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,26,41,67,B+,CT-OL,PASS,AUCDE,CBCS
20241010009,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,25,60,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010009,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,24,42,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010009,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,25,41,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010009,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,28,44,72,A,CT-OL,PASS,AUCDE,CBCS
20241010010,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,18,57,75,A,CT-OL,PASS,AUCDE,CBCS
20241010010,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,28,41,69,B+,CT-OL,PASS,AUCDE,CBCS
20241010010,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,28,30,58,B,CT-OL,PASS,AUCDE,CBCS
20241010010,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,23,45,68,B+,CT-OL,PASS,AUCDE,CBCS
20241010010,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,24,47,71,A,CT-OL,PASS,AUCDE,CBCS
20241010010,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,29,44,73,A,CT-OL,PASS,AUCDE,CBCS
20241010010,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,26,35,61,B+,CT-OL,PASS,AUCDE,CBCS
20241010011,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,26,41,67,B+,CT-OL,PASS,AUCDE,CBCS
20241010011,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,22,49,71,A,CT-OL,PASS,AUCDE,CBCS
20241010011,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,27,62,89,A+,CT-OL,PASS,AUCDE,CBCS
20241010011,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,28,45,73,A,CT-OL,PASS,AUCDE,CBCS
20241010011,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,21,31,52,B,CT-OL,PASS,AUCDE,CBCS
20241010011,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,26,30,56,B,CT-OL,PASS,AUCDE,CBCS
20241010011,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,25,53,78,A,CT-OL,PASS,AUCDE,CBCS
20241010012,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,18,36,54,B,CT-OL,PASS,AUCDE,CBCS
20241010012,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,18,34,52,B,CT-OL,PASS,AUCDE,CBCS
20241010012,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,29,50,79,A,CT-OL,PASS,AUCDE,CBCS
20241010012,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,20,64,84,A+,CT-OL,PASS,AUCDE,CBCS
20241010012,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,22,35,57,B,CT-OL,PASS,AUCDE,CBCS
20241010012,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,27,36,63,B+,CT-OL,PASS,AUCDE,CBCS
20241010012,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,28,58,86,A+,CT-OL,PASS,AUCDE,CBCS
20241010013,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,28,52,80,A+,CT-OL,PASS,AUCDE,CBCS
20241010013,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,25,46,71,A,CT-OL,PASS,AUCDE,CBCS
20241010013,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,25,40,65,B+,CT-OL,PASS,AUCDE,CBCS
20241010013,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,57,84,A+,CT-OL,PASS,AUCDE,CBCS
20241010013,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,20,48,68,B+,CT-OL,PASS,AUCDE,CBCS
20241010013,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,24,58,82,A+,CT-OL,PASS,AUCDE,CBCS
20241010013,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010014,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,18,62,80,A+,CT-OL,PASS,AUCDE,CBCS
20241010014,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,23,31,54,B,CT-OL,PASS,AUCDE,CBCS
20241010014,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010014,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,19,63,82,A+,CT-OL,PASS,AUCDE,CBCS
20241010014,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,28,53,81,A+,CT-OL,PASS,AUCDE,CBCS
20241010014,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,21,30,51,B,CT-OL,PASS,AUCDE,CBCS
20241010014,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,22,52,74,A,CT-OL,PASS,AUCDE,CBCS
20241010015,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,25,41,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010015,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,29,33,62,B+,CT-OL,PASS,AUCDE,CBCS
20241010015,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,21,52,73,A,CT-OL,PASS,AUCDE,CBCS
20241010015,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,29,49,78,A,CT-OL,PASS,AUCDE,CBCS
20241010015,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,27,52,79,A,CT-OL,PASS,AUCDE,CBCS
20241010015,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,28,56,84,A+,CT-OL,PASS,AUCDE,CBCS
20241010015,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,23,50,73,A,CT-OL,PASS,AUCDE,CBCS
20241010016,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,22,55,77,A,CT-OL,PASS,AUCDE,CBCS
20241010016,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,24,40,64,B+,CT-OL,PASS,AUCDE,CBCS
20241010016,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,29,57,86,A+,CT-OL,PASS,AUCDE,CBCS
20241010016,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,18,40,58,B,CT-OL,PASS,AUCDE,CBCS
20241010016,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,19,66,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010016,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,25,34,59,B,CT-OL,PASS,AUCDE,CBCS
20241010016,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,25,63,88,A+,CT-OL,PASS,AUCDE,CBCS
20241010017,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,21,45,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010017,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,18,54,72,A,CT-OL,PASS,AUCDE,CBCS
20241010017,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,19,51,70,A,CT-OL,PASS,AUCDE,CBCS
20241010017,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,64,91,O,CT-OL,PASS,AUCDE,CBCS
20241010017,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,18,54,72,A,CT-OL,PASS,AUCDE,CBCS
20241010017,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,28,46,74,A,CT-OL,PASS,AUCDE,CBCS
20241010017,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,29,36,65,B+,CT-OL,PASS,AUCDE,CBCS
20241010018,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,24,52,76,A,CT-OL,PASS,AUCDE,CBCS
20241010018,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,29,54,83,A+,CT-OL,PASS,AUCDE,CBCS
20241010018,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,21,39,60,B+,CT-OL,PASS,AUCDE,CBCS
20241010018,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,19,36,55,B,CT-OL,PASS,AUCDE,CBCS
20241010018,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,19,61,80,A+,CT-OL,PASS,AUCDE,CBCS
20241010018,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,29,56,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010018,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,22,36,58,B,CT-OL,PASS,AUCDE,CBCS
20241010019,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,25,60,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010019,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,19,31,50,B,CT-OL,PASS,AUCDE,CBCS
20241010019,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,20,45,65,B+,CT-OL,PASS,AUCDE,CBCS
20241010019,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,34,61,B+,CT-OL,PASS,AUCDE,CBCS
20241010019,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,26,35,61,B+,CT-OL,PASS,AUCDE,CBCS
20241010019,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,27,62,89,A+,CT-OL,PASS,AUCDE,CBCS
20241010019,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,28,60,88,A+,CT-OL,PASS,AUCDE,CBCS
20241010020,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,22,37,59,B,CT-OL,PASS,AUCDE,CBCS
20241010020,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,20,42,62,B+,CT-OL,PASS,AUCDE,CBCS
20241010020,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,22,57,79,A,CT-OL,PASS,AUCDE,CBCS
20241010020,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,43,70,A,CT-OL,PASS,AUCDE,CBCS
20241010020,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,25,45,70,A,CT-OL,PASS,AUCDE,CBCS
20241010020,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,22,39,61,B+,CT-OL,PASS,AUCDE,CBCS
20241010020,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,24,31,55,B,CT-OL,PASS,AUCDE,CBCS
20241010021,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,24,40,64,B+,CT-OL,PASS,AUCDE,CBCS
20241010021,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,21,42,63,B+,CT-OL,PASS,AUCDE,CBCS
20241010021,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,25,41,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010021,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,29,49,78,A,CT-OL,PASS,AUCDE,CBCS
20241010021,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,28,50,78,A,CT-OL,PASS,AUCDE,CBCS
20241010021,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,22,61,83,A+,CT-OL,PASS,AUCDE,CBCS
20241010021,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,26,40,66,B+,CT-OL,PASS,AUCDE,CBCS
20241010022,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,28,56,84,A+,CT-OL,PASS,AUCDE,CBCS
20241010022,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,23,46,69,B+,CT-OL,PASS,AUCDE,CBCS
20241010022,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010022,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,20,39,59,B,CT-OL,PASS,AUCDE,CBCS
20241010022,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,28,42,70,A,CT-OL,PASS,AUCDE,CBCS
20241010022,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,27,43,70,A,CT-OL,PASS,AUCDE,CBCS
20241010022,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,19,62,81,A+,CT-OL,PASS,AUCDE,CBCS
20241010023,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,29,48,77,A,CT-OL,PASS,AUCDE,CBCS
20241010023,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,24,43,67,B+,CT-OL,PASS,AUCDE,CBCS
20241010023,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010023,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,29,66,95,O,CT-OL,PASS,AUCDE,CBCS
20241010023,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,26,41,67,B+,CT-OL,PASS,AUCDE,CBCS
20241010023,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,19,55,74,A,CT-OL,PASS,AUCDE,CBCS
20241010023,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,20,50,70,A,CT-OL,PASS,AUCDE,CBCS
20241010024,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,24,58,82,A+,CT-OL,PASS,AUCDE,CBCS
20241010024,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010024,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,19,37,56,B,CT-OL,PASS,AUCDE,CBCS
20241010024,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,64,91,O,CT-OL,PASS,AUCDE,CBCS
